iter	Passed	Remaining
702	6050	2556
703	6060	2548
704	6069	2539
705	6077	2530
706	6088	2523
707	6096	2514
708	6104	2505
709	6115	2498
710	6127	2490
711	6136	2482
712	6144	2473
713	6154	2465
714	6163	2456
715	6172	2448
716	6180	2439
717	6188	2430
718	6197	2422
719	6205	2413
720	6214	2404
721	6223	2396
722	6236	2389
723	6247	2381
724	6255	2372
725	6264	2364
726	6272	2355
727	6280	2346
728	6288	2337
729	6297	2329
730	6305	2320
731	6314	2311
732	6325	2304
733	6337	2296
734	6349	2289
735	6357	2280
736	6365	2271
737	6373	2262
738	6382	2254
739	6394	2246
740	6407	2239
741	6419	2232
742	6430	2224
743	6438	2215
744	6445	2206
745	6453	2197
746	6461	2188
747	6469	2179
748	6477	2170
749	6485	2161
750	6493	2152
751	6501	2144
752	6509	2135
753	6517	2126
754	6526	2117
755	6536	2109
756	6543	2100
757	6552	2092
758	6564	2084
759	6571	2075
760	6581	2067
761	6590	2058
762	6598	2049
763	6608	2041
764	6617	2032
765	6625	2023
766	6632	2014
767	6640	2006
768	6649	1997
769	6659	1989
770	6668	1980
771	6675	1971
772	6686	1963
773	6694	1954
774	6703	1946
775	6714	1938
776	6722	1929
777	6731	1920
778	6738	1911
779	6746	1902
780	6758	1895
781	6771	1887
782	6784	1880
783	6796	1872
784	6805	1863
785	6812	1854
786	6820	1845
787	6829	1837
788	6837	1828
789	6846	1819
790	6855	1811
791	6863	1802
792	6874	1794
793	6882	1785
794	6894	1777
795	6903	1769
796	6913	1760
797	6923	1752
798	6932	1743
799	6942	1735
800	6951	1726
801	6960	1718
802	6972	1710
803	6983	1702
804	6991	1693
805	7000	1684
806	7008	1676
807	7017	1667
808	7025	1658
809	7033	1649
810	7041	1640
811	7048	1632
812	7056	1623
813	7064	1614
814	7071	1605
815	7080	1596
816	7087	1587
817	7095	1578
818	7104	1570
819	7113	1561
820	7124	1553
821	7132	1544
822	7143	1536
823	7154	1528
824	7162	1519
825	7172	1510
826	7180	1502
827	7194	1494
828	7203	1485
829	7215	1477
830	7227	1469
831	7237	1461
832	7245	1452
833	7258	1444
834	7270	1436
835	7280	1428
836	7289	1419
837	7298	1410
838	7310	1402
839	7322	1394
840	7334	1386
841	7348	1378
842	7363	1371
843	7375	1363
844	7387	1355
845	7399	1346
846	7411	1338
847	7422	1330
848	7432	1321
849	7445	1313
850	7458	1305
851	7469	1297
852	7481	1289
853	7494	1281
854	7512	1273
855	7527	1266
856	7539	1258
857	7553	1250
858	7568	1242
859	7582	1234
860	7600	1226
861	7613	1218
862	7626	1210
863	7640	1202
864	7654	1194
865	7668	1186
866	7681	1178
867	7700	1170
868	7710	1162
869	7722	1153
870	7735	1145
871	7747	1137
872	7764	1129
873	7774	1120
874	7788	1112
875	7801	1104
876	7816	1096
877	7828	1087
878	7843	1079
879	7856	1071
880	7869	1062
881	7882	1054
882	7893	1045
883	7906	1037
884	7923	1029
885	7936	1021
886	7949	1012
887	7964	1004
888	7977	996
889	7989	987
890	8001	978
891	8016	970
892	8037	963
893	8052	954
894	8068	946
895	8080	937
896	8093	929
897	8107	920
898	8127	913
899	8142	904
900	8158	896
901	8181	888
902	8195	880
903	8216	872
904	8230	863
905	8250	855
906	8262	847
907	8276	838
908	8291	830
909	8311	821
910	8324	813
911	8346	805
912	8361	796
913	8378	788
914	8392	779
915	8404	770
916	8425	762
917	8437	753
918	8448	744
919	8460	735
920	8471	726
921	8484	717
922	8495	708
923	8507	699
924	8520	690
925	8536	682
926	8550	673
927	8562	664
928	8574	655
929	8593	646
930	8605	637
931	8623	629
932	8636	620
933	8655	611
934	8669	602
935	8682	593
936	8692	584
937	8704	575
938	8716	566
939	8733	557
940	8745	548
941	8757	539
942	8769	530
943	8787	521
944	8799	512
945	8808	502
946	8818	493
947	8828	484
948	8841	475
949	8851	465
950	8873	457
951	8886	448
952	8902	439
953	8914	429
954	8927	420
955	8939	411
956	8951	402
957	8972	393
958	8989	384
959	9004	375
960	9024	366
961	9035	356
962	9047	347
963	9058	338
964	9070	328
965	9082	319
966	9095	310
967	9108	301
968	9119	291
969	9131	282
970	9142	273
971	9154	263
972	9171	254
973	9187	245
974	9205	236
975	9220	226
976	9230	217
977	9241	207
978	9251	198
979	9263	189
980	9283	179
981	9297	170
982	9319	161
983	9330	151
984	9342	142
985	9353	132
